"filename", "language", "Dotenv", "Go Checksum File", "Go Module File", "Markdown", "HTML", "Go", "PostCSS", "JSON with Comments", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\.env", "Dotenv", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 12, 10, 35
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\GOLANGUEANDO.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\README.md", "Markdown", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 45, 152
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\cmd\web\main.go", "Go", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 3, 21, 93
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\cmd\web\middleware.go", "Go", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 10, 8, 46
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\cmd\web\routes.go", "Go", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 29, 34, 174
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 3, 33
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\go.mod", "Go Module File", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\go.sum", "Go Checksum File", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\config\config.go", "Go", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 3, 19
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\database\database.go", "Go", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 6, 39
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\handlers\handlers.go", "Go", 0, 0, 0, 0, 0, 3060, 0, 0, 0, 0, 262, 548, 3870
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\handlers\helpers.go", "Go", 0, 0, 0, 0, 0, 2374, 0, 0, 0, 0, 101, 389, 2864
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\entidades.go", "Go", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\licitaciones.go", "Go", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 11, 69
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\partidas.go", "Go", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 11, 29, 167
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\producto.go", "Go", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 11, 20, 131
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\proyecto.go", "Go", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 8, 46
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\templatedata.go", "Go", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 23, 25, 101
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\models\usuarios.go", "Go", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\pkg\render\render.go", "Go", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 13, 31, 174
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\static\css\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 397, 0, 0, 0, 35, 97, 529
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\auth\login.page.tmpl", "HTML", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 2, 7, 66
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\base\base.layout.tmpl", "HTML", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 9, 15, 134
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\calendario\calendario-vista.page.tmpl", "HTML", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 3, 17, 168
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\catalogo\catalogo.page.tmpl", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 6, 4, 78
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\catalogo\producto-detalle.page.tmpl", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 0, 49
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\home\home.page.tmpl", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 5, 8, 113
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\crear-producto.page.tmpl", "HTML", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 22, 24, 226
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\editar-producto.page.tmpl", "HTML", 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 20, 232
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-catalogos.page.tmpl", "HTML", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 17, 235
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-comercio-exterior.page.tmpl", "HTML", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 9, 73
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-ieps.page.tmpl", "HTML", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 10, 105
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\gestion-inventario.page.tmpl", "HTML", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 9, 144
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\inventario.page.tmpl", "HTML", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 8, 100
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\inventario\ver_producto.page.tmpl", "HTML", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 6, 8, 107
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\aclaraciones-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 14, 171
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\aclaraciones.page.tmpl", "HTML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\archivos.page.tmpl", "HTML", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-aclaracion.page.tmpl", "HTML", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 24, 211
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-partida.page.tmpl", "HTML", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 8, 102
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\editar-propuesta.page.tmpl", "HTML", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 11, 95
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\licitacion-catalogos.page.tmpl", "HTML", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 9, 151
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\licitaciones.page.tmpl", "HTML", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 12, 164
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\mostrar-partidas.page.tmpl", "HTML", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 2, 21, 207
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-aclaracion-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 9, 7, 105
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-aclaracion.page.tmpl", "HTML", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 8, 13, 98
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-licitacion.page.tmpl", "HTML", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 6, 22, 225
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-partida.page.tmpl", "HTML", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 8, 20, 116
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nueva-propuesta.page.tmpl", "HTML", 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 27, 301
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\nuevo-producto-partida.page.tmpl", "HTML", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 13, 161
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\productos-partida.page.tmpl", "HTML", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 15, 137
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\licitaciones\propuestas.page.tmpl", "HTML", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 1, 24, 208
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\datos-referencia.page.tmpl", "HTML", 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 6, 30, 340
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\empresas-externas.page.tmpl", "HTML", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 2, 64
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-nueva.page.tmpl", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 14, 88
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\entidades-opciones.page.tmpl", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\josec\OneDrive\Documentos\AUTISMO\GOLANGUEANDO\templates\opciones\opciones.page.tmpl", "HTML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
